normDistAlong	normRI	fraction
0.2125	3.55	4.8887006E-5
0.2125	3.65	8.147834E-5
0.2125	3.75	4.8887006E-5
0.2125	3.85	0.0
0.2125	3.95	0.0
0.2125	4.05	1.629567E-5
0.2125	4.15	0.0
0.2125	4.25	1.629567E-5
0.2125	4.35	0.0
0.2125	4.45	0.0
0.2125	4.55	1.629567E-5
0.2125	4.65	0.0
0.2125	4.75	0.0
0.2125	4.85	0.0
0.2125	4.95	1.629567E-5
0.2375	0.05	0.09688155
0.2375	0.15	0.0053673456
0.2375	0.25	0.0076758815
0.2375	0.35	0.010734691
0.2375	0.45	0.01773725
0.2375	0.55	0.029568497
0.2375	0.65	0.04936419
0.2375	0.75	0.06650507
0.2375	0.85	0.08778208
0.2375	0.95	0.104807526
0.2375	1.05	0.11071353
0.2375	1.15	0.09872838
0.2375	1.25	0.08020238
0.2375	1.35	0.06396568
0.2375	1.45	0.04507416
0.2375	1.55	0.033358343
0.2375	1.65	0.024201151
0.2375	1.75	0.017140878
0.2375	1.85	0.014101306
0.2375	1.95	0.0098112775
0.2375	2.05	0.008099114
0.2375	2.15	0.0057713394
0.2375	2.25	0.004290029
0.2375	2.35	0.002770243
0.2375	2.45	0.0017506396
0.2375	2.55	0.0011735057
0.2375	2.65	6.348473E-4
0.2375	2.75	3.2704257E-4
0.2375	2.85	2.5009137E-4
0.2375	2.95	1.3466459E-4
0.2375	3.05	7.69512E-5
0.2375	3.15	1.7314019E-4
0.2375	3.25	2.8856698E-4
0.2375	3.35	2.1161578E-4
0.2375	3.45	3.84756E-5
0.2375	3.55	7.69512E-5
0.2375	3.65	5.7713394E-5
0.2375	3.75	5.7713394E-5
0.2375	3.85	1.92378E-5
0.2375	3.95	0.0
0.2375	4.05	0.0
0.2375	4.15	0.0
0.2375	4.25	1.92378E-5
0.2375	4.35	0.0
0.2375	4.45	1.92378E-5
0.2375	4.55	0.0
0.2375	4.65	1.92378E-5
0.2375	4.75	0.0
0.2375	4.85	1.92378E-5
0.2375	4.95	0.0
0.2625	0.05	0.08982686
0.2625	0.15	0.005350375
0.2625	0.25	0.008307944
0.2625	0.35	0.0100468155
0.2625	0.45	0.01587278
0.2625	0.55	0.029486513
0.2625	0.65	0.046756335
0.2625	0.75	0.06714721
0.2625	0.85	0.08844467
0.2625	0.95	0.10459983
0.2625	1.05	0.11475069
0.2625	1.15	0.09944267
0.2625	1.25	0.08260385
0.2625	1.35	0.063535705
0.2625	1.45	0.046340194
0.2625	1.55	0.033855986
0.2625	1.65	0.024611726
0.2625	1.75	0.01856283
0.2625	1.85	0.012513934
0.2625	1.95	0.008976741
0.2625	2.05	0.007743182
0.2625	2.15	0.006271829
0.2625	2.25	0.0049045105
0.2625	2.35	0.0029724308
0.2625	2.45	0.0021698745
0.2625	2.55	0.0012186966
0.2625	2.65	9.6603995E-4
0.2625	2.75	6.093483E-4
0.2625	2.85	4.6072676E-4
0.2625	2.95	4.161403E-4
0.2625	3.05	3.1210523E-4
0.2625	3.15	2.3779446E-4
0.2625	3.25	2.0807015E-4
0.2625	3.35	1.634837E-4
0.2625	3.45	0.0
0.2625	3.55	7.431077E-5
0.2625	3.65	8.917292E-5
0.2625	3.75	0.0
0.2625	3.85	7.431077E-5
0.2625	3.95	0.0
0.2625	4.05	2.9724308E-5
0.2625	4.15	0.0
0.2625	4.25	0.0
0.2625	4.35	0.0
0.2625	4.45	0.0
0.2625	4.55	0.0
0.2625	4.65	0.0
0.2625	4.75	0.0
0.2625	4.85	0.0
0.2625	4.95	4.458646E-5
0.2875	0.05	0.084068276
0.2875	0.15	0.0046783625
0.2875	0.25	0.007143986
0.2875	0.35	0.009925716
0.2875	0.45	0.015157263
0.2875	0.55	0.027137663
0.2875	0.65	0.045282125
0.2875	0.75	0.06500711
0.2875	0.85	0.0877351
0.2875	0.95	0.105674095
