3.86893 , 0.7350967 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.0
3.3403642 , 0.63466924 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.15
2.9290905 , 0.5565272 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.3
2.4993606 , 0.47487852 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),0.0,default,default,0.44999999999999996
3.3129246 , 0.6294557 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.0
2.8677595 , 0.5448743 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.15
2.5398867 , 0.48257846 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.3
2.1935575 , 0.4167759 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),33.3,default,default,0.44999999999999996
2.756919 , 0.5238146 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.0
2.3951547 , 0.4550794 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.15
2.1506827 , 0.40862972 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.3
1.8877544 , 0.35867333 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),66.6,default,default,0.44999999999999996
2.2009134 , 0.41817355 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.0
1.9225501 , 0.36528453 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.15
1.7614789 , 0.33468097 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.3
1.5819514 , 0.30057076 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , Uniform/Boxcar (Dsr=Dr),99.89999999999999,default,default,0.44999999999999996
3.888807 , 0.7388733 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.0
3.3711486 , 0.64051825 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.15
2.9238253 , 0.5555268 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.3
2.5045798 , 0.47587016 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , WGCEP-2002 model (Dsr prop to Vs),0.0,default,default,0.44999999999999996
3.3328013 , 0.63323224 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , WGCEP-2002 model (Dsr prop to Vs),33.3,default,default,0.0
2.8985438 , 0.5507233 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , WGCEP-2002 model (Dsr prop to Vs),33.3,default,default,0.15
2.5346215 , 0.48157808 , Ellsworth-A (WGCEP, 2002, Eq 4.5a) , Max Rate , WGCEP-2002 model (Dsr prop to Vs),33.3,default,default,0.3
